codigo;nombre;cantidad;coste_total;coste_unitario;revisar
02017305;Campana CATA TF-2003 60 Duralum;1;77.0;77.0;
02034310;Campana CATA TF 5260 Inox;1;65.63;65.63;
02089305;Campana CATA TF-2003 70 Duralum;1;93.0;93.0;
02186309;Campana Integración CATA ARMONIA;2;289.02;144.51;revisar_cantidad
10-101200401B;Tubo Redondo Ø120mm. Largo 1500mm.;3;21.88;7.2933;
10-101500601B;Tubo Redondo Ø150mm. Largo 1500mm;1;11.67;11.67;
10-111000202B;Empalme redondo Ø100mm.;3;1.3;0.4333;
10-111200402B;Empalme redondo Ø120mm.;3;2.35;0.7833;
10-111500602B;Empalme redondo Ø150mm.;1;3.22;3.22;
10-121000206B;Codo Redondo 90º Ø100mm.;1;1.22;1.22;
10-121200406B;Codo Redondo 90º Ø120mm.;2;3.41;1.705;
10-181000203B;Aro Reductor Piramide Ø125 > Ø100mm.;3;2.47;0.8233;
10-181200454B;Aro Reductor Ø150 > Ø120 mm.;3;6.47;2.1567;
10-401021023B;Tubo Flexible Ø102mm. Largo 3000mm.;2;16.96;8.48;
10107007;Fregadero TEKA STYLO 1C Cubeta INOXIDABL4E;4;160.54;39.57;
10110005;Fregadero TEKA DR-80 1C 1E Cubeta;1;71.37;71.37;
10111004;Fregadero TEKA 1 Cubeta CENTROVAL;1;55.44;55.44;
11-CJECL0600X;Conjunto Escurreplatos Clasic Acero;1;7.37;7.37;
11-CJECL0800X;Conjunto Escurreplatos Clasic Acero;1;9.58;9.58;
11-CJECL0900X;Conjunto Escurreplatos Clasic Acero;1;10.67;10.67;
11-PRP216090P;Perfil Alum 19x14mm C/Soportes Modulo;62;2.5;0.0403;revisar_cantidad
11-PRP2SPCTGR;Soporte C/Taco Perfil Alum Estriado;4;0.27;0.0675;
112.0264.987;Válvula Man. FRANKE Integrada Premium;1;0.0;0.0;sin_coste_origen
112.0671.788;Rebosadero FRANKE Rectangular Hidden;1;0.0;0.0;sin_coste_origen
112500036;Placa TEKA IZF 68780 MST Total Flex Inducción;160;640.08;640.08;
112570022;Placa TEKA GZC 63310 XBN NAT Cristal;31;211.58;211.58;
112660000;Placa Teppan Yaki TEKA YZC 32600 XFL;1;819.53;819.53;
114.0361.524;Fregadero FRANKE SIRIUS SID-610-50;1;124.25;124.25;
115.0550.427;Grifo FRANKE ATLAS NEO PULL OUT Negro;1;240.9;240.9;
115230020;Fregadero TEKA SQUARE 50.40 TG Negro;1;190.63;190.63;
115890041;Dispensador jabón TEKA Cuadrado Negro;1;30.03;30.03;
116020023;Grifo de cocina TEKA UNI9331 negro;3;310.47;103.49;revisar_coste
119.0547.906;Dispensador jabón FRANKE ACTIVE NEGRO;1;61.0;61.0;
12-CBCP0400BL;Cubertero COMPACT Cajón Blum LGBX/MVBO1X;1;2.91;2.91;revisar_coste
12-CBCP0600GA;Cubertero COMPACT Cajón Blum LGBX/MVBO9X;9;25.01;2.7789;revisar_coste
12-CBCP0700GA;Cubertero COMPACT Cajón Blum LGBX/MVBO1X;1;4.43;4.43;revisar_coste
12-CBCP0900BL;Cubertero COMPACT Cajón Blum LGBX/MVBO4X;4;21.27;5.3175;revisar_coste
12-CBCP0900GA;Cubertero COMPACT Cajón Blum LGBX/MVBO2X;2;9.18;4.59;revisar_coste
12-CBTP45045B;Cubertero TECNO PLUS Modulo 450mm.An.3419x455mm.7B,l6a6nco;3419;0.0;0.0;sin_coste_origen
122.0375.818;Fregadero FRANKE BMG MU 50.40 PLUS;410;0.0;0.0;sin_coste_origen
122.0393.818;Fregadero FRANKE BOX BXX 110-68;1;237.5;237.5;
125.0633.508;Fregadero FRANKE KUBUS KNG 110-52;1;278.85;278.85;
127.0715.191;Fregadero FRANKE SRX 110-40 Bajo Encimera 40.40 Inox;240;108.54;54.2685;
13-AERM2R30NG;Tapa/Remate Encimera 2 Radios Grueso;3;4.95;1.65;
13-AEU92R30NG;Unión 90º Reversible Encimera 2 Radios;13;1.98;0.1523;
13-AEURRT40NG;Union Recta Encimera Recta Grueso;1;1.21;1.21;
14-CC242440LB;"Copete En forma de "" C"" (Convexo)24x24.L.40200mm.";40200;20.18;10.0904;confirmar_valor
14-CC242440LN;"Copete En forma de "" C"" (Convexo)24x24.L.40200mm.";40200;21.12;10.5604;
14-CC242440PM;"Copete En forma de "" C"" (Convexo)24x24.L.40500mm.";40500;45.98;9.1956;
14-CCESQ242PM;"Esquina Copete En forma de "" C"" (Convexo)234x24.mm.U3,n6d2.";234;1.24;0.0053;revisar_cantidad
14-CCRNC242LB;"Rincon Copete En forma de "" C"" (Convexo)243x24.mm.U3n,d12.Blanco";2432;0.66;0.2281;
14-CCRNC242LN;"Rincon Copete En forma de "" C"" (Convexo)242x24.mm.U2n,d08.Negro";2422;0.44;0.2212;
14-CCRNC242PM;"Rincon Copete En forma de "" C"" (Convexo)249x24.mm.U9n,d64.";2492;3.86;0.4285;
14-CCTAPIZDLB;"Tapa IZ/Dr. Copete En forma de "" C""";22;0.24;0.1175;
14-CCTAPIZDLN;"Tapa IZ/Dr. Copete En forma de "" C""";42;1.52;0.38;
14-CCTAPIZDPM;"Tapa IZ/Dr. Copete En forma de "" C""";102;2.56;0.2557;
144.0667.810;Fregadero MEPAMSA SQUARE 50.40;3;353.52;119.44;
14ESRENE02;Esquina copete rectangular negro;2;0.21;0.105;
14RECTNEG02;Copete rectangular negro 395cm;3;27.54;9.18;
14TADENE02;Tapa derecha copete rectangular negro;2;0.13;0.065;
14TAIZNE02;Tapa izquierda copete rectangular negro;2;0.13;0.065;
15-ZPAL15040;Zocalo PVC Revestido Aluminio Cepillado;2;15.32;7.66;revisar_coste
15-ZPBM100400;Zocalo PVC Revestido Blanco Mate;3;19.08;7.0724;revisar_cantidad
15-ZPBM150400;Zocalo PVC Revestido Blanco Mate;504;31.98;8.3992;
15-ZPNM100400;Zocalo PVC Revestido Negro Mate Altura;7;45.23;6.004;revisar_cantidad
15-ZPNM150400;Zocalo PVC Revestido Negro Mate Altura 150 x L.4000 mm;502;15.99;8.3992;
15-ZPREFNG100;Accesorio bivalente Esqu./Rinc.Flexible Zocalo PVC Negro Alt.100mm;2;1002.7;0.7354;
15-ZPREFNG150;Accesorio bivalente Esqu./Rinc.Flexible;4;1503.04;375.76;revisar_coste
15-ZZPABZALPR;Pinza Abrazadera Sujeción Zocalo Aluminio;24;0.93;0.0387;revisar_coste
15-ZZPABZPVPR;Pinza Abrazadera Sujeción Zocalo PVC;50;2.45;0.049;revisar_coste
1500140;Pata zocalo 10-16 Cm. D13;200;32.9;0.1645;revisar_cantidad
1500141;Pata zocalo 13-21 Cm. D13 ESPIGA R.13;228;36.02;0.158;revisar_cantidad
